CSE104_CO001,1,Analyze linear circuits,33.33,20,PLO001,CSE104
CSE104_CO002,2,Apply network theorems,33.33,33.33,PLO002,CSE104
CSE104_CO003,3,Solve AC circuits,33.33,33.33,PLO002,CSE104
CSE104L_CO001,1,Verify circuit theorems,25,20,PLO001,CSE104L
CSE104L_CO002,2,Use laboratory equipment,25,33.33,PLO002,CSE104L
CSE104L_CO003,3,Conduct experiments accurately,50,25,PLO003,CSE104L
CSE201_CO001,1,Apply mathematical logic,33.33,33.33,PLO005,CSE201
CSE201_CO002,2,Analyze algorithms complexity,33.33,25,PLO006,CSE201
CSE201_CO003,3,Apply discrete structures,33.33,50,PLO007,CSE201
CSE203_CO001,1,Implement abstract data types,25,20,PLO001,CSE203
CSE203_CO002,2,Analyze algorithms efficiency,25,33.33,PLO005,CSE203
CSE203_CO003,3,Apply data structures,50,25,PLO006,CSE203
CSE203L_CO001,1,Implement data structures,33.33,50,PLO007,CSE203L
CSE203L_CO002,2,Test algorithms,33.33,33.33,PLO008,CSE203L
CSE203L_CO003,3,Debug code,33.33,25,PLO003,CSE203L
CSE204_CO001,1,Analyze combinational circuits,25,33.33,PLO005,CSE204
CSE204_CO002,2,Analyze sequential circuits,25,20,PLO008,CSE204
CSE204_CO003,3,Design digital systems,50,20,PLO008,CSE204
CSE204L_CO001,1,Implement digital circuits,33.33,20,PLO001,CSE204L
CSE204L_CO002,2,Test digital systems,33.33,20,PLO011,CSE204L
CSE204L_CO003,3,Troubleshoot errors,33.33,20,PLO010,CSE204L
CSE210_CO001,1,Analyze analog circuits,25,20,PLO011,CSE210
CSE210_CO002,2,Analyze semiconductor devices,25,20,PLO009,CSE210
CSE210_CO003,3,Analyze amplifier circuits,50,20,PLO011,CSE210
CSE210L_CO001,1,Use laboratory equipment,33.33,20,PLO010,CSE210L
CSE210L_CO002,2,Construct analog circuits,33.33,20,PLO011,CSE210L
CSE210L_CO003,3,Test electronic devices,33.33,20,PLO010,CSE210L
CSE211_CO001,1,Analyze algorithms complexity,25,20,PLO011,CSE211
CSE211_CO002,2,Implement sorting algorithms,25,20,PLO009,CSE211
CSE211_CO003,3,Apply searching algorithms,50,25,PLO003,CSE211
CSE211L_CO001,1,Implement algorithms,33.33,20,PLO001,CSE211L
CSE211L_CO002,2,Analyze algorithms efficiency,33.33,20,PLO008,CSE211L
CSE211L_CO003,3,Test algorithms,33.33,33.33,PLO004,CSE211L
CSE213_CO001,1,Implement OOP concepts,25,25,PLO003,CSE213
CSE213_CO002,2,Develop software applications,25,20,PLO010,CSE213
CSE213_CO003,3,Use libraries and frameworks,50,20,PLO009,CSE213
CSE213L_CO001,1,Develop software applications,33.33,20,PLO010,CSE213L
CSE213L_CO002,2,Implement OOP concepts,33.33,20,PLO008,CSE213L
CSE213L_CO003,3,Debug code,33.33,20,PLO013,CSE213L
CSE214_CO001,1,Analyze computer architecture,25,20,PLO013,CSE214
CSE214_CO002,2,Design digital circuits,25,25,PLO006,CSE214
CSE214_CO003,3,Analyze memory systems,50,33.33,PLO004,CSE214
CSE216_CO001,1,Program microprocessors,33.33,20,PLO013,CSE216
CSE216_CO002,2,Interface microprocessors with external devices,33.33,20,PLO009,CSE216
CSE216_CO003,3,Analyze assembly language programs,33.33,25,PLO006,CSE216
CSE216L_CO001,1,Program microprocessors,25,20,PLO009,CSE216L
CSE216L_CO002,2,Interface microprocessors with external devices,25,20,PLO013,CSE216L
CSE216L_CO003,3,Test microprocessor programs,50,33.33,PLO004,CSE216L
EEE131_CO001,1,Analyze DC circuits,33.33,33.33,PLO014,EEE131
EEE131_CO002,2,Analyze AC circuits,33.33,33.33,PLO015,EEE131
EEE131_CO003,3,Analyze network theorems,33.33,33.33,PLO016,EEE131
EEE132_CO001,1,Analyze materials properties,25,50,PLO017,EEE132
EEE132_CO002,2,Analyze chemical reactions,25,50,PLO018,EEE132
EEE132_CO003,3,Apply chemistry concepts,50,50,PLO019,EEE132
EEE211_CO001,1,Analyze power circuits,33.33,50,PLO020,EEE211
EEE211_CO002,2,Analyze filter circuits,33.33,50,PLO021,EEE211
EEE211_CO003,3,Analyze resonance circuits,33.33,50,PLO022,EEE211
EEE211L_CO001,1,Use laboratory equipment,25,50,PLO023,EEE211L
EEE211L_CO002,2,Construct electrical circuits,25,50,PLO024,EEE211L
EEE211L_CO003,3,Test electrical circuits,50,50,PLO025,EEE211L
EEE221_CO001,1,Analyze analog circuits,33.33,33.33,PLO014,EEE221
EEE221_CO002,2,Analyze semiconductor devices,33.33,33.33,PLO015,EEE221
EEE221_CO003,3,Analyze amplifier circuits,33.33,33.33,PLO016,EEE221
EEE223_CO001,1,Analyze mechanical systems,25,50,PLO017,EEE223
EEE223_CO002,2,Analyze thermodynamics concepts,25,50,PLO018,EEE223
EEE223_CO003,3,Analyze materials properties,50,50,PLO019,EEE223
EEE231_CO001,1,Analyze signals and systems,33.33,50,PLO020,EEE231
EEE231_CO002,2,Apply Fourier series and transforms,33.33,50,PLO021,EEE231
EEE231_CO003,3,Apply Laplace transforms,33.33,50,PLO022,EEE231
EEE232_CO001,1,Analyze combinational circuits,25,50,PLO023,EEE232
EEE232_CO002,2,Analyze sequential circuits,25,50,PLO024,EEE232
EEE232_CO003,3,Design digital systems,50,50,PLO025,EEE232
EEE232L_CO001,1,Implement digital circuits,33.33,33.33,PLO014,EEE232L
EEE232L_CO002,2,Test digital systems,33.33,33.33,PLO015,EEE232L
EEE232L_CO003,3,Troubleshoot errors,33.33,33.33,PLO016,EEE232L
BCB103_CO001,1,Understand basic chemical concepts,25,33.33,PLO050,BCB103
BCB103_CO002,2,Apply stoichiometry,25,33.33,PLO051,BCB103
BCB103_CO003,3,Analyze gas laws,50,33.33,PLO027,BCB103
BCB103L_CO001,1,Use laboratory equipment,33.33,33.33,PLO026,BCB103L
BCB103L_CO002,2,Conduct experiments accurately,33.33,33.33,PLO050,BCB103L
BCB103L_CO003,3,Analyze chemical reactions,33.33,33.33,PLO051,BCB103L
BCB202_CO001,1,Understand organic functional groups,25,33.33,PLO027,BCB202
BCB202_CO002,2,Analyze reaction mechanisms,25,33.33,PLO026,BCB202
BCB202_CO003,3,Apply spectroscopy techniques,50,33.33,PLO050,BCB202
BCB202L_CO001,1,Use laboratory equipment,33.33,33.33,PLO051,BCB202L
BCB202L_CO002,2,Conduct experiments accurately,33.33,33.33,PLO027,BCB202L
BCB202L_CO003,3,Synthesize organic compounds,33.33,33.33,PLO026,BCB202L
CMN201_CO001,1,Understand communication theories,25,33.33,PLO028,CMN201
CMN201_CO002,2,Apply communication strategies,25,50,PLO029,CMN201
CMN201_CO003,3,Analyze communication patterns,50,50,PLO052,CMN201
CMN202_CO001,1,Develop speaking skills,33.33,50,PLO053,CMN202
CMN202_CO002,2,Deliver effective presentations,33.33,33.33,PLO028,CMN202
CMN202_CO003,3,Analyze speaking styles,33.33,50,PLO029,CMN202
CMN203_CO001,1,Understand mass communication systems,25,50,PLO052,CMN203
